,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,0.125,0.685,0.812,0.0,1.0,0.101,6.024,0.0,0.034,110.014,0.194
1,0.39,0.712,0.62,0.0,4.0,0.0994,4.187,1.0,0.0888,99.953,0.494
2,0.205,0.564,0.709,8.0,10.0,0.12,5.955,0.0,0.147,100.095,0.436
3,0.0211,0.718,0.812,0.0,0.0,0.111,5.327,0.0,0.0938,145.036,0.574
4,0.0194,0.689,0.707,6.0,0.0,0.0615,7.911,1.0,0.204,89.941,0.19
5,0.0232,0.573,0.875,0.0,2.0,0.356,4.057,0.0,0.0523,149.974,0.235
6,0.12,0.629,0.772,0.0,1.0,0.265,5.056,0.0,0.158,88.547,0.743
7,0.0563,0.752,0.635,0.0,1.0,0.118,9.528,0.0,0.106,104.033,0.639
8,0.0656,0.828,0.433,0.0,0.0,0.122,9.716,1.0,0.199,148.073,0.44
9,0.0672,0.929,0.723,0.0,11.0,0.346,5.792,0.0,0.109,125.022,0.458
10,0.182,0.924,0.543,0.0,9.0,0.103,7.474,0.0,0.298,133.907,0.736
11,0.303,0.945,0.394,0.0,10.0,0.131,8.571,1.0,0.492,120.058,0.743
12,0.0565,0.853,0.547,0.0,1.0,0.341,7.535,1.0,0.194,142.065,0.676
13,0.198,0.627,0.812,0.0,6.0,0.212,4.215,1.0,0.0358,123.071,0.504
14,0.0259,0.785,0.633,0.0,7.0,0.368,8.223,1.0,0.169,129.97,0.244
15,0.284,0.77,0.565,0.0,10.0,0.257,7.641,0.0,0.272,141.999,0.394
16,0.388,0.611,0.611,0.0,8.0,0.113,8.751,1.0,0.143,142.187,0.38
17,0.191,0.6,0.699,0.0,9.0,0.245,5.356,0.0,0.07,106.014,0.462
18,0.235,0.522,0.428,2.0,11.0,0.278,11.332,0.0,0.143,129.829,0.399
19,0.112,0.483,0.787,0.0,8.0,0.257,5.244,1.0,0.102,122.058,0.58
20,0.069,0.843,0.359,0.0,0.0,0.12,7.417,1.0,0.461,81.987,0.156
21,0.694,0.705,0.609,0.0,3.0,0.234,5.728,1.0,0.0729,140.058,0.718
22,0.165,0.722,0.813,0.0,11.0,0.0459,5.524,0.0,0.306,90.029,0.659
23,0.0168,0.626,0.916,3.0,11.0,0.484,2.554,1.0,0.0683,130.044,0.591
24,0.0541,0.795,0.568,0.0,5.0,0.108,7.817,0.0,0.142,136.173,0.478
25,0.0143,0.924,0.444,0.0,1.0,0.26,8.227,1.0,0.243,136.088,0.314
26,0.445,0.915,0.54,3.0,7.0,0.11,6.578,1.0,0.0661,100.039,0.111
27,0.0463,0.762,0.81,0.0,1.0,0.146,4.528,1.0,0.101,81.984,0.902
28,0.0495,0.77,0.639,3.0,9.0,0.331,8.284,0.0,0.121,125.0,0.158
29,0.000359,0.907,0.591,2.0,1.0,0.0897,7.507,0.0,0.105,149.992,0.418
30,0.0014,0.66,0.627,0.0,1.0,0.142,7.936,1.0,0.0364,120.034,0.277
31,0.124,0.863,0.576,0.0,5.0,0.143,5.687,0.0,0.239,132.054,0.832
32,0.00677,0.731,0.513,0.0,6.0,0.216,10.196,1.0,0.0623,156.102,0.642
33,0.00264,0.732,0.75,0.0,11.0,0.109,6.366,0.0,0.231,155.096,0.401
34,0.115,0.706,0.716,0.0,7.0,0.316,4.263,0.0,0.0768,136.904,0.459
35,0.0847,0.841,0.728,0.0,7.0,0.149,3.37,1.0,0.0484,130.049,0.43
36,0.0062,0.714,0.442,0.0,8.0,0.0886,6.012,1.0,0.257,148.062,0.19
37,0.0235,0.835,0.436,0.0,0.0,0.635,9.602,1.0,0.176,133.942,0.234
38,0.436,0.709,0.646,0.0,8.0,0.12,5.912,0.0,0.367,95.08,0.136
39,0.0795,0.925,0.429,0.0,10.0,0.0815,7.663,0.0,0.122,96.002,0.319
40,0.024,0.715,0.561,0.0,1.0,0.0769,7.605,1.0,0.0721,100.076,0.297
41,0.0569,0.753,0.776,0.0,7.0,0.325,5.453,0.0,0.0518,131.194,0.718
42,0.0737,0.769,0.569,0.0,1.0,0.0571,5.591,0.0,0.0786,146.062,0.612
43,0.503,0.758,0.616,0.0,2.0,0.103,3.471,1.0,0.311,165.906,0.494
44,0.455,0.893,0.551,9.0,3.0,0.351,5.878,0.0,0.341,99.986,0.697
45,0.0533,0.599,0.667,0.0,7.0,0.134,4.267,1.0,0.0367,80.984,0.817
46,0.13,0.794,0.646,0.0,0.0,0.14,6.235,1.0,0.0614,145.931,0.322
47,0.0232,0.467,0.636,0.0,7.0,0.138,6.96,1.0,0.201,135.014,0.419
48,0.0287,0.749,0.53,0.0,1.0,0.141,5.251,1.0,0.0386,93.869,0.332
49,0.0066,0.73,0.725,0.0,7.0,0.0563,7.308,0.0,0.123,126.014,0.189
50,0.238,0.457,0.627,0.0,5.0,0.116,5.091,0.0,0.111,101.384,0.554
51,0.0714,0.763,0.598,0.0,11.0,0.112,6.865,1.0,0.0539,140.987,0.182
52,0.0189,0.591,0.889,0.0,7.0,0.155,3.839,1.0,0.115,143.067,0.65
53,0.558,0.684,0.612,3.0,6.0,0.162,8.019,1.0,0.0374,137.945,0.688
54,0.24,0.743,0.571,0.0,7.0,0.291,6.054,0.0,0.145,119.054,0.495
55,0.341,0.661,0.634,0.0,4.0,0.12,6.391,0.0,0.109,108.099,0.164
56,0.00419,0.748,0.741,0.0,6.0,0.147,3.103,1.0,0.0531,128.077,0.537
57,0.00256,0.618,0.717,0.0,7.0,0.625,5.738,1.0,0.318,190.05,0.603
58,0.61,0.837,0.571,0.0,5.0,0.0849,8.273,0.0,0.0922,125.034,0.801
59,0.0865,0.605,0.768,0.0,0.0,0.308,3.724,0.0,0.0476,100.209,0.414
60,0.122,0.762,0.611,0.0,9.0,0.141,5.462,0.0,0.0876,99.934,0.386
61,0.484,0.71,0.404,0.0,1.0,0.0953,10.04,0.0,0.379,139.553,0.398
62,0.0452,0.756,0.857,0.0,2.0,0.121,4.185,1.0,0.336,140.016,0.688
63,0.000367,0.697,0.752,0.0,1.0,0.32,4.552,1.0,0.0526,130.022,0.269
64,0.307,0.92,0.674,0.0,1.0,0.104,5.662,0.0,0.264,141.967,0.741
65,0.242,0.865,0.687,0.0,10.0,0.158,3.744,0.0,0.217,139.023,0.486
66,0.149,0.536,0.717,0.0,6.0,0.332,8.1,1.0,0.424,140.221,0.666
67,0.0646,0.95,0.743,1.0,10.0,0.103,5.861,0.0,0.238,136.98,0.62
68,0.22,0.68,0.843,3.0,1.0,0.378,4.919,1.0,0.241,81.958,0.743
69,0.052,0.817,0.587,0.0,2.0,0.185,6.502,1.0,0.108,140.062,0.352
70,0.0232,0.89,0.633,0.0,11.0,0.0993,5.475,1.0,0.168,139.948,0.425
71,0.0151,0.884,0.346,7.0,8.0,0.0871,8.228,0.0,0.351,75.016,0.376
72,0.012,0.791,0.586,0.0,11.0,0.46,7.372,0.0,0.29,163.029,0.413
73,0.0343,0.872,0.389,0.0,1.0,0.0941,8.343,1.0,0.0634,131.012,0.156
74,0.0102,0.833,0.434,0.0,2.0,0.165,8.795,1.0,0.431,150.062,0.281
75,0.0293,0.726,0.769,0.0,6.0,0.104,5.043,1.0,0.123,97.985,0.733
76,0.53,0.745,0.685,0.0,4.0,0.176,5.7,0.0,0.0313,121.977,0.437
77,0.398,0.507,0.464,2.0,3.0,0.603,8.531,0.0,0.171,147.984,0.277
78,0.0335,0.655,0.496,0.0,3.0,0.156,4.139,0.0,0.0364,137.945,0.28
79,0.0717,0.86,0.678,0.0,2.0,0.0742,4.547,1.0,0.0793,142.074,0.724
80,0.0105,0.714,0.765,0.0,4.0,0.566,6.215,0.0,0.354,74.986,0.52
81,0.181,0.635,0.777,0.0,1.0,0.357,6.018,1.0,0.231,128.09,0.177
82,0.492,0.897,0.598,0.0,2.0,0.0646,7.164,1.0,0.0466,119.966,0.528
83,0.523,0.848,0.663,0.0,8.0,0.108,5.606,0.0,0.245,133.993,0.333
84,0.408,0.627,0.462,0.0,0.0,0.155,7.686,0.0,0.253,78.811,0.836
85,0.274,0.86,0.561,0.0,6.0,0.108,5.757,0.0,0.185,152.984,0.354
86,0.00902,0.785,0.617,0.0,1.0,0.351,5.871,1.0,0.0522,103.981,0.382
87,0.0075,0.668,0.503,0.0,7.0,0.441,8.196,0.0,0.365,160.054,0.333
88,0.0591,0.837,0.459,0.0,4.0,0.234,7.99,0.0,0.302,101.996,0.319
89,0.0855,0.914,0.507,0.0,2.0,0.0797,10.784,1.0,0.164,123.956,0.199
90,0.182,0.874,0.706,0.0,1.0,0.334,5.132,1.0,0.207,89.968,0.895
91,0.061,0.927,0.665,0.0,11.0,0.123,5.313,1.0,0.244,127.076,0.175
92,0.016,0.653,0.577,0.0,1.0,0.203,9.018,0.0,0.116,150.004,0.196
93,0.0272,0.811,0.651,0.0,5.0,0.136,6.443,0.0,0.18,155.883,0.383
94,0.017,0.944,0.494,0.0,2.0,0.108,6.325,1.0,0.27,133.069,0.202
95,0.0249,0.859,0.644,0.0,10.0,0.118,6.472,0.0,0.184,132.06,0.35
96,0.043,0.859,0.494,0.0,10.0,0.109,8.505,1.0,0.34,77.456,0.137
97,0.156,0.889,0.674,1.0,6.0,0.0914,5.392,0.0,0.117,128.011,0.635
98,0.414,0.908,0.552,0.0,9.0,0.178,7.787,1.0,0.298,127.981,0.267
99,0.207,0.869,0.401,0.0,1.0,0.105,7.247,1.0,0.234,129.951,0.167
